Iteration,Discriminator Loss,Generator Loss
9430,1.266597,0.631746
9440,1.053506,0.493958
9450,1.343074,0.910014
9460,1.297554,0.606077
9470,1.300241,0.541795
9480,1.221618,0.730123
9490,1.319858,0.569391
9500,1.243005,0.832024
9510,1.302531,0.904299
9520,1.288198,0.886970
9530,1.285374,0.718643
9540,1.314935,0.888570
9550,0.869709,0.433685
9560,1.321165,0.571026
9570,1.252642,0.654359
9580,1.251238,0.581328
9590,1.295327,0.520043
9600,1.308978,0.495715
9610,1.342856,0.587875
9620,1.247599,0.703673
9630,1.338034,0.552274
9640,1.272137,0.661466
9650,1.296882,0.614715
9660,1.272138,0.600371
9670,1.307428,0.535539
9680,1.302028,0.874331
9690,1.314042,0.892348
9700,1.317795,0.585182
9710,1.284222,0.801208
9720,1.263668,0.821792
9730,1.315893,0.912072
9740,1.292428,0.784704
9750,1.147601,0.450717
9760,1.285330,0.855154
9770,1.294985,0.862983
9780,1.235189,0.603907
9790,1.253500,0.974873
9800,1.270085,0.604569
9810,1.272743,0.607567
9820,1.299080,0.581366
9830,1.218183,0.501341
9840,1.330984,0.551815
9850,1.358508,0.498311
9860,1.343316,0.649362
9870,1.220295,0.621889
9880,1.316745,0.608120
9890,1.273239,0.670853
9900,1.312183,0.546975
9910,1.351562,0.560850
9920,1.316301,0.569643
9930,1.263887,0.708756
9940,1.274603,0.671273
9950,1.330763,0.573035
9960,1.235907,0.732341
9970,1.224088,0.770860
9980,1.090219,0.600210
9990,1.291748,0.929811
10000,1.224091,0.890464
